Dictamen,Adhieren,No se Adhieren,Abstienen
Todos tienen derecho a vivir cerca del río Vilnelé y el río Vilnelé tiene derecho a fluir cerca de todos,28,0,2
"Todos tienen derecho al agua caliente, a la calefacción en invierno y a un tejado",31,0,2
"Todos tienen derecho a morir, pero no es su obligación",12,3,17
Todos tiene derecho a equivocarse,32,0,0
Todos tienen derecho a ser únicos,31,0,1
Todos tienen derecho a amar,33,0,2
"Todos tienen derecho a no ser amados, pero no necesariamente",14,5,15
Todos tienen derecho a ser insignificantes y desconocidos,27,3,5
Todos tienen derecho a ser perezosos y a no hacer nada,20,8,6
Todos tienen derecho a amar y a proteger a un gato,23,0,11
Todos tienen derecho a cuidar de un perro hasta que uno de los dos se muera,25,0,8
Un perro tiene derecho a ser un perro,22,0,12
"Un gato no está obligado a amar a su dueño, pero le debe ayudar en los momentos difíciles",14,5,14
Todos tienen derecho a no saber de vez en cuando que tienen obligaciones,15,12,7
"Todos tienen derecho a dudar, pero no es su obligación",32,0,2
Todos tienen derecho a ser felices,34,0,0
Todos tienen derecho a ser infelices,30,0,5
Todos tienen derecho a guardar silencio,28,0,3
Todos tienen derecho a tener fe,30,1,3
Nadie tiene derecho a usar la violencia,25,3,5
Todos tienen derecho a darse cuenta de su irrelevancia y de su grandeza,32,0,1
Nadie tiene derecho a usurpar la eternidad,20,2,10
Todos tienen derecho a comprender,32,0,1
Todos tienen derecho a no comprender nada,23,5,6
Todos tienen derecho a tener varias nacionalidades,24,1,9
Todos tienen derecho a celebrar o a no celebrar su cumpleaños,34,0,0
Todos tienen la obligación de recordar su nombre,26,3,6
Todos pueden compartir lo que poseen,33,1,1
Nadie puede compartir lo que no posee,32,0,2
"Todos tienen derecho a tener hermanos, hermanas y padres",32,0,1
Todos pueden ser libres,34,0,0
Todos son responsables de su libertad,33,0,0
Todos tienen derecho a llorar,32,0,2
Todos tienen derecho a ser incomprendidos,30,0,3
Nadie tiene derecho a echarle la culpa al otro,30,2,2
Todos tienen derecho a ser subjetivos,30,0,4
Todos tienen derecho a no tener ningún derecho,6,24,4
Todos tienen derecho a no tener miedo,24,2,8
No venzas,14,11,8
No te defiendas,0,34,0
No te rindas,32,1,1
